Subject_ID,Llama-3.3-70B,Llama-3.1-8B,Gemma-2-27B,Gemma-2-9B,Qwen2.5-72B,Qwen2.5-7B,DeepSeek-R1-Llama-70B,DeepSeek-R1-Qwen-32B,DeepSeek-R1-Llama-8B,Mistral-Nemo,Mistral-Large-2411,Phi-4
Block_11,0.5211970074812967,0.3541147132169576,0.44139650872817954,0.3566084788029925,0.543640897755611,0.3865336658354115,0.45885286783042395,0.42144638403990026,0.18952618453865336,0.32169576059850374,0.5586034912718204,0.5211970074812967
Block_12,0.5835411471321695,0.3940149625935162,0.4513715710723192,0.38902743142144636,0.5885286783042394,0.44389027431421446,0.5112219451371571,0.4688279301745636,0.22443890274314215,0.34663341645885287,0.543640897755611,0.5561097256857855
Block_13,0.49875311720698257,0.3341645885286783,0.45885286783042395,0.3765586034912718,0.5286783042394015,0.40399002493765584,0.46384039900249374,0.4613466334164589,0.23690773067331672,0.314214463840399,0.5236907730673317,0.5261845386533666
Block_14,0.5635910224438903,0.3940149625935162,0.4463840399002494,0.3790523690773067,0.600997506234414,0.456359102244389,0.47880299251870323,0.5211970074812967,0.22693266832917705,0.34413965087281795,0.6159600997506235,0.57356608478803
Block_15,0.5461346633416458,0.4114713216957606,0.4513715710723192,0.38403990024937656,0.6109725685785536,0.42643391521197005,0.46384039900249374,0.4937655860349127,0.20199501246882792,0.3566084788029925,0.57356608478803,0.5685785536159601
Block_16,0.5261845386533666,0.36658354114713215,0.44389027431421446,0.4139650872817955,0.5860349127182045,0.41895261845386533,0.49625935162094764,0.4513715710723192,0.18204488778054864,0.3790523690773067,0.5660847880299252,0.5561097256857855
Block_17,0.5461346633416458,0.3566084788029925,0.46384039900249374,0.3790523690773067,0.5860349127182045,0.44139650872817954,0.49625935162094764,0.4763092269326683,0.20698254364089774,0.33665835411471323,0.5885286783042394,0.5336658354114713
Block_18,0.5087281795511222,0.3940149625935162,0.46384039900249374,0.36159600997506236,0.5536159600997507,0.42643391521197005,0.47880299251870323,0.4688279301745636,0.1970074812967581,0.3541147132169576,0.516209476309227,0.5561097256857855
Block_19,0.5311720698254364,0.4139650872817955,0.4339152119700748,0.3690773067331671,0.5536159600997507,0.42144638403990026,0.46633416458852867,0.4538653366583541,0.20448877805486285,0.36658354114713215,0.543640897755611,0.516209476309227
Block_20,0.5810473815461347,0.42144638403990026,0.49875311720698257,0.4763092269326683,0.5935162094763092,0.49625935162094764,0.5037406483790524,0.5062344139650873,0.22693266832917705,0.36658354114713215,0.6034912718204489,0.5810473815461347
Block_21,0.5286783042394015,0.38154613466334164,0.428927680798005,0.371571072319202,0.5411471321695761,0.43640897755610975,0.4713216957605985,0.4713216957605985,0.22194513715710723,0.32917705735660846,0.5461346633416458,0.5386533665835411
Block_22,0.5561097256857855,0.3940149625935162,0.47381546134663344,0.39900249376558605,0.5635910224438903,0.4239401496259352,0.4713216957605985,0.4463840399002494,0.22443890274314215,0.33665835411471323,0.5810473815461347,0.5211970074812967
Block_23,0.5785536159600998,0.3690773067331671,0.41895261845386533,0.3940149625935162,0.5785536159600998,0.41895261845386533,0.4688279301745636,0.4314214463840399,0.20199501246882792,0.3516209476309227,0.5411471321695761,0.543640897755611
Block_24,0.543640897755611,0.38902743142144636,0.44389027431421446,0.3940149625935162,0.5635910224438903,0.428927680798005,0.486284289276808,0.47381546134663344,0.20947630922693267,0.3790523690773067,0.5536159600997507,0.5261845386533666
Block_25,0.5261845386533666,0.36159600997506236,0.4488778054862843,0.4114713216957606,0.543640897755611,0.44139650872817954,0.49875311720698257,0.4688279301745636,0.2344139650872818,0.33915211970074816,0.5561097256857855,0.5286783042394015
Block_26,0.5037406483790524,0.32917705735660846,0.3790523690773067,0.34663341645885287,0.5286783042394015,0.39650872817955113,0.4164588528678304,0.42144638403990026,0.20698254364089774,0.30423940149625933,0.5561097256857855,0.4763092269326683
Block_27,0.5536159600997507,0.42144638403990026,0.44389027431421446,0.4164588528678304,0.5810473815461347,0.456359102244389,0.4688279301745636,0.4688279301745636,0.18703241895261846,0.3915211970074813,0.5910224438902744,0.5336658354114713
Block_28,0.5511221945137157,0.3765586034912718,0.4488778054862843,0.4014962593516209,0.5411471321695761,0.456359102244389,0.49625935162094764,0.46633416458852867,0.23192019950124687,0.33665835411471323,0.5461346633416458,0.5411471321695761
Block_29,0.5062344139650873,0.3566084788029925,0.4339152119700748,0.36159600997506236,0.5211970074812967,0.42643391521197005,0.428927680798005,0.4613466334164589,0.1970074812967581,0.33915211970074816,0.513715710723192,0.5062344139650873
Block_30,0.5187032418952618,0.35910224438902744,0.4164588528678304,0.371571072319202,0.5361596009975063,0.4089775561097257,0.46384039900249374,0.4688279301745636,0.20448877805486285,0.3566084788029925,0.5536159600997507,0.5211970074812967
