"Dataset 1";"Dataset 2";"Test";"p-value";"p-Thr";"Delta";"d 95% CI";"Delta-Thr";"RelDiff";"r 95% CI";"Rel-Thr";"Win";"Power (%)";"Swap";"Reason"
"Method E";"Method G";"OC";0.0000;0.0167;-1.000;"[-1.000, -1.000]";1.000;0.923;"[0.836, 0.992]";0.708;"1";"100.0";"";"(1) Decision by number of wins"
"Method F";"Method G";"OC";0.0000;0.0250;-0.942;"[-0.996, -0.767]";1.000;0.473;"[0.360, 0.558]";0.708;"0";"0.0";"";"(1) Decision by number of wins"
"Method A";"Method E";"OC";0.0000;0.0028;-0.787;"[-0.900, -0.633]";1.000;0.376;"[0.362, 0.389]";0.708;"0";"0.0";"";"(2) Decision by Cliff's d"
"Method A";"Method F";"OC";0.0000;0.0029;-0.996;"[-1.000, -0.967]";1.000;0.841;"[0.834, 0.848]";0.708;"0";"44.1";"";"(2) Decision by Cliff's d"
"Method B";"Method G";"OC";0.5577;0.0500;-0.073;"[-0.378, +0.260]";1.000;0.006;"[0.000, 0.014]";0.708;"0";"0.0";"";"(2) Decision by Cliff's d"
"Method C";"Method D";"OC";0.0000;0.0045;+1.000;"[+1.000, +1.000]";1.000;0.622;"[0.565, 0.674]";0.708;"0";"0.1";"";"(2) Decision by Cliff's d"
"Method E";"Method F";"OC";0.0000;0.0125;-0.913;"[-0.973, -0.802]";1.000;0.505;"[0.500, 0.510]";0.708;"0";"0.0";"";"(2) Decision by Cliff's d"
"Method A";"Method C";"CNR";0.0010;0.0083;+0.438;"[+0.178, +0.642]";0.311;0.165;"[0.091, 0.258]";0.121;"1";"79.4";"1";""
"Method B";"Method C";"CNR";0.0132;0.0500;+0.311;"[+0.049, +0.551]";0.311;0.121;"[0.051, 0.218]";0.121;"1";"40.8";"1";""
"Method C";"Method D";"CNR";0.0000;0.0036;-0.958;"[-0.991, -0.871]";0.311;0.494;"[0.431, 0.571]";0.121;"1";"100.0";"1";""
"Method C";"Method E";"CNR";0.0020;0.0100;-0.396;"[-0.622, -0.142]";0.311;0.151;"[0.077, 0.247]";0.121;"1";"68.7";"1";""
"Method C";"Method F";"CNR";0.0006;0.0071;-0.464;"[-0.678, -0.220]";0.311;0.174;"[0.100, 0.267]";0.121;"1";"84.9";"1";""
"Method C";"Method G";"CNR";0.0000;0.0050;-0.776;"[-0.909, -0.556]";0.311;0.308;"[0.224, 0.388]";0.121;"1";"100.0";"1";""
"Method A";"Method D";"CNR";0.0000;0.0025;-0.764;"[-0.871, -0.622]";0.311;0.336;"[0.322, 0.351]";0.121;"1";"100.0";"0";"Ranking already correct"
"Method A";"Method G";"CNR";0.0030;0.0167;-0.429;"[-0.638, -0.191]";0.311;0.145;"[0.061, 0.230]";0.121;"1";"67.8";"0";"Ranking already correct"
"Method B";"Method D";"CNR";0.0000;0.0029;-0.824;"[-0.916, -0.689]";0.311;0.378;"[0.365, 0.391]";0.121;"1";"100.0";"0";"Ranking already correct"
"Method B";"Method G";"CNR";0.0005;0.0063;-0.511;"[-0.704, -0.276]";0.311;0.188;"[0.103, 0.270]";0.121;"1";"90.5";"0";"Ranking already correct"
"Method D";"Method E";"CNR";0.0000;0.0038;+0.780;"[+0.642, +0.882]";0.311;0.349;"[0.334, 0.365]";0.121;"1";"100.0";"0";"Ranking already correct"
"Method D";"Method F";"CNR";0.0000;0.0042;+0.744;"[+0.596, +0.849]";0.311;0.327;"[0.312, 0.342]";0.121;"1";"100.0";"0";"Ranking already correct"
"Method D";"Method G";"CNR";0.0003;0.0056;+0.513;"[+0.251, +0.689]";0.311;0.193;"[0.112, 0.273]";0.121;"1";"94.5";"0";"Ranking already correct"
"Method E";"Method G";"CNR";0.0021;0.0125;-0.447;"[-0.653, -0.204]";0.311;0.159;"[0.071, 0.244]";0.121;"1";"75.0";"0";"Ranking already correct"
"Method F";"Method G";"CNR";0.0044;0.0250;-0.416;"[-0.633, -0.171]";0.311;0.136;"[0.049, 0.222]";0.121;"1";"61.0";"0";"Ranking already correct"
"Method A";"Method B";"CNR";0.0000;0.0024;+0.162;"[+0.102, +0.202]";0.311;0.044;"[0.041, 0.047]";0.121;"0";"0.0";"0";"Criteria for CNR win not met"
"Method A";"Method E";"CNR";0.0000;0.0026;+0.064;"[+0.058, +0.058]";0.311;0.014;"[0.012, 0.016]";0.121;"0";"0.0";"0";"Criteria for CNR win not met"
"Method A";"Method F";"CNR";0.0000;0.0028;-0.064;"[-0.062, -0.056]";0.311;0.009;"[0.008, 0.011]";0.121;"0";"0.0";"0";"Criteria for CNR win not met"
"Method B";"Method E";"CNR";0.0000;0.0031;-0.109;"[-0.129, -0.076]";0.311;0.030;"[0.027, 0.032]";0.121;"0";"0.0";"0";"Criteria for CNR win not met"
"Method B";"Method F";"CNR";0.0000;0.0033;-0.182;"[-0.233, -0.124]";0.311;0.053;"[0.049, 0.057]";0.121;"0";"0.0";"0";"Criteria for CNR win not met"
"Method E";"Method F";"CNR";0.0000;0.0045;-0.100;"[-0.113, -0.071]";0.311;0.023;"[0.020, 0.027]";0.121;"0";"0.0";"0";"Criteria for CNR win not met"
"Method A";"Method E";"SNR";0.0000;0.0028;+1.000;"[+1.000, +1.000]";1.000;0.581;"[0.564, 0.596]";0.581;"1";"50.4";"1";"(1) CNR neutral"
"Method A";"Method F";"SNR";0.0000;0.0029;+1.000;"[+1.000, +1.000]";1.000;0.954;"[0.945, 0.962]";0.581;"1";"100.0";"1";"(2) OC/CNR neutral"
"Method A";"Method C";"SNR";0.0000;0.0025;+1.000;"[+1.000, +1.000]";1.000;1.670;"[1.660, 1.681]";0.581;"1";"100.0";"0";"(1/2) No comparison -> CNR win"
"Method A";"Method D";"SNR";0.0000;0.0026;+1.000;"[+1.000, +1.000]";1.000;1.355;"[1.336, 1.374]";0.581;"1";"100.0";"0";"(1/2) No comparison -> CNR win"
"Method A";"Method G";"SNR";0.0000;0.0031;+1.000;"[+1.000, +1.000]";1.000;1.142;"[1.114, 1.172]";0.581;"1";"100.0";"0";"(1/2) No comparison -> CNR win"
"Method B";"Method C";"SNR";0.0000;0.0033;+1.000;"[+1.000, +1.000]";1.000;0.943;"[0.917, 0.972]";0.581;"1";"100.0";"0";"(1/2) No comparison -> CNR win"
"Method C";"Method D";"SNR";0.0000;0.0045;-1.000;"[-1.000, -1.000]";1.000;0.725;"[0.704, 0.748]";0.581;"1";"100.0";"0";"(1/2) No comparison -> CNR win"
"Method C";"Method E";"SNR";0.0000;0.0050;-1.000;"[-1.000, -1.000]";1.000;1.437;"[1.412, 1.463]";0.581;"1";"100.0";"0";"(1/2) No comparison -> CNR win"
"Method C";"Method F";"SNR";0.0000;0.0056;-1.000;"[-1.000, -1.000]";1.000;1.190;"[1.161, 1.220]";0.581;"1";"100.0";"0";"(1/2) No comparison -> CNR win"
"Method C";"Method G";"SNR";0.0000;0.0063;-1.000;"[-1.000, -1.000]";1.000;1.009;"[0.956, 1.056]";0.581;"1";"100.0";"0";"(1/2) No comparison -> CNR win"
"Method D";"Method E";"SNR";0.0000;0.0071;-1.000;"[-1.000, -1.000]";1.000;0.963;"[0.925, 0.999]";0.581;"1";"100.0";"0";"(1/2) No comparison -> CNR win"
"Method D";"Method F";"SNR";0.0000;0.0083;-1.000;"[-1.000, -1.000]";1.000;0.592;"[0.552, 0.631]";0.581;"1";"70.6";"0";"(1/2) No comparison -> CNR win"
"Method E";"Method G";"SNR";0.0000;0.0125;+1.000;"[+1.000, +1.000]";1.000;0.672;"[0.637, 0.706]";0.581;"1";"100.0";"0";"(1/2) No comparison -> CNR win"
"Method A";"Method B";"SNR";0.0000;0.0024;+1.000;"[+1.000, +1.000]";1.000;1.198;"[1.198, 1.198]";0.581;"1";"100.0";"0";"(2) No comparison -> OC win"
"Method B";"Method E";"SNR";0.0000;0.0038;-1.000;"[-1.000, -1.000]";1.000;0.747;"[0.733, 0.763]";0.581;"1";"100.0";"0";"(2) No comparison -> OC win"
"Method B";"Method F";"SNR";0.0000;0.0042;-0.998;"[-1.000, -0.973]";1.000;0.342;"[0.332, 0.353]";0.581;"0";"0.0";"0";"(1)/(2) Criteria for SNR win not met"
"Method E";"Method F";"SNR";0.0000;0.0100;+1.000;"[+1.000, +1.000]";1.000;0.433;"[0.427, 0.439]";0.581;"0";"0.0";"0";"(1)/(2) Criteria for SNR win not met"
